,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
10001,"215 Ralph Avenue, Unit 1R",Bedford-Stuyvesant,2199,1 BD,1 BA,Brooklyn,Compass
10002,"87 Lafayette Avenue, Unit PH",Fort Greene,6500,3 BD,2 BA,Brooklyn,Compass
10003,"104 Fort Greene Place, Unit 1F",Fort Greene,2500,Studio,1 BA,Brooklyn,Compass
10004,"80 Metropolitan Avenue, Unit THH",Williamsburg,9995,3 BD,2.5 BA,Brooklyn,Compass
10005,"55 North 5th Street, Unit 613E",Williamsburg,3462,1 BD,1 BA,Brooklyn,Compass
10006,"65 North 6th Street, Unit 3E",Williamsburg,3595,1 BD,1 BA,Brooklyn,Compass
10007,"800 De Kalb Avenue, Unit C6",Bedford-Stuyvesant,2350,1 BD,2 BA,Brooklyn,Compass
10008,"196 Macon Street, Unit 4E",Bedford-Stuyvesant,2950,2 BD,1 BA,Brooklyn,Compass
10009,"129 11th Street, Unit 1R",Gowanus,4500,4 BD,1 BA,Brooklyn,Compass
10010,"44 Berry Street, Unit 50E",Williamsburg,3275,1 BD,1 BA,Brooklyn,Compass
10011,"138 Scholes Street, Unit 1",East Williamsburg,2250,2 BD,1 BA,Brooklyn,Compass
10012,"24 Fairview Place, Unit 3",Flatbush,2300,2 BD,1 BA,Brooklyn,Compass
10013,"333 Schermerhorn Street, Unit 45C",Downtown Brooklyn,3880,1 BD,1 BA,Brooklyn,Compass
10014,"63 Troutman Street, Unit 1B",Bushwick,2200,1 BD,1 BA,Brooklyn,Compass
10015,"104 Bedford Avenue, Unit 4R",Williamsburg,2800,1 BD,1 BA,Brooklyn,Compass
10016,1092 Dean Street,Crown Heights,6000,5 BD,2 BA,Brooklyn,Compass
10017,"115 4th Place, Unit 3B",Carroll Gardens,2200,1 BD,1 BA,Brooklyn,Compass
10018,34 Schermerhorn Street,Brooklyn Heights,12950,5 BD,2.5 BA,Brooklyn,Compass
10019,"115 4th Place, Unit 4A",Carroll Gardens,2200,1 BD,1 BA,Brooklyn,Compass
10020,"120 Nassau Street, Unit 16G",Downtown Brooklyn,3820,1 BD,1 BA,Brooklyn,Compass
10021,"164 South 3rd Street, Unit 4A",Williamsburg,5500,2 BD,2 BA,Brooklyn,Compass
10022,"325 Kent Avenue, Unit 1254",Williamsburg,2816,Studio,1 BA,Brooklyn,Compass
10023,"164 South 3rd Street, Unit 4B",Williamsburg,3500,Studio,1 BA,Brooklyn,Compass
10024,"1024 Gates Avenue, Unit 4D",Bedford-Stuyvesant,2500,2 BD,1 BA,Brooklyn,Compass
10025,"209-a Wyckoff Street, Unit 1G",Boerum Hill,3389,1 BD,1 BA,Brooklyn,Compass
10026,"50 Jefferson Street, Unit 4C",Bushwick,2200,1 BD,1 BA,Brooklyn,Compass
10027,"390 Wythe Avenue, Unit 2D",Williamsburg,3600,1 BD,1 BA,Brooklyn,Compass
10028,113-a 2nd Place,Carroll Gardens,2900,1 BD,1 BA,Brooklyn,Compass
10029,"107 Columbia Heights, Unit 11E",Brooklyn Heights,4212,1 BD,1 BA,Brooklyn,Compass
10030,"107 Columbia Heights, Unit 11E",Brooklyn Heights,4212,1 BD,1 BA,Brooklyn,Compass
10031,"461 Dean Street, Unit 30D",Prospect Heights,3450,1 BD,1 BA,Brooklyn,Compass
10032,"1108 Madison Street, Unit 1",Bushwick,3099,3 BD,2 BA,Brooklyn,Compass
10033,"164 Kent Avenue, Unit 3D",Williamsburg,3000,1 BD,1 BA,Brooklyn,Compass
10034,"1 Northside Piers, Unit 12F",Williamsburg,2995,Studio,1 BA,Brooklyn,Compass
10035,"114 Calyer Street, Unit 1A",Greenpoint,2100,1 BD,1 BA,Brooklyn,Compass
10036,"45 Hoyt Street, Unit 15G",Downtown Brooklyn,3970,1 BD,1 BA,Brooklyn,Compass
10037,"1024 Gates Avenue, Unit 5C",Bedford-Stuyvesant,2100,1 BD,1 BA,Brooklyn,Compass
10038,"311 Clinton Street, Unit 2",Cobble Hill,6300,4 BD,2 BA,Brooklyn,Compass
10039,"128 Wythe Avenue, Unit 4A",Williamsburg,4000,1 BD,2 BA,Brooklyn,Compass
10040,"305 Mcguinness Boulevard, Unit 5A",Greenpoint,5250,2 BD,2 BA,Brooklyn,Compass
10041,"1384 Bedford Avenue, Unit 4A",Crown Heights,2877,2 BD,1 BA,Brooklyn,Compass
10042,"74 South 4th Street, Unit 6C",Williamsburg,2750,Studio,1 BA,Brooklyn,Compass
10043,"430 Henry Street, Unit 3",Cobble Hill,7495,4 BD,2 BA,Brooklyn,Compass
10044,"305 Mcguinness Boulevard, Unit 3J",Greenpoint,3999,2 BD,1 BA,Brooklyn,Compass
10045,"196 Macon Street, Unit 2E",Bedford-Stuyvesant,2950,2 BD,1 BA,Brooklyn,Compass
10046,"135 Willow Street, Unit 210",Brooklyn Heights,2600,Studio,1 BA,Brooklyn,Compass
10047,"926 Broadway, Unit 2C",Bedford-Stuyvesant,2300,1 BD,1 BA,Brooklyn,Compass
10048,"265 Wythe Avenue, Unit PH",Williamsburg,10350,3 BD,2.5 BA,Brooklyn,Compass
10049,"1793 Bedford Avenue, Unit 1R",Prospect Lefferts Gardens,3300,3 BD,1.5 BA,Brooklyn,Compass
10050,"857 Union Street, Unit 3B",North Slope,2842,1 BD,1 BA,Brooklyn,Compass
10051,"229 Verona Place, Unit 2",Bedford-Stuyvesant,1800,1 BD,1 BA,Brooklyn,Compass
10052,"411 St Johns Place, Unit 16",Prospect Heights,2750,2 BD,1 BA,Brooklyn,Compass
10053,"217 Ocean Avenue, Unit A5",Prospect Lefferts Gardens,2500,2 BD,1 BA,Brooklyn,Compass
10054,"75 Kingsland Avenue, Unit 3B",Williamsburg,4000,2 BD,1 BA,Brooklyn,Compass
10055,371 Classon Avenue,Clinton Hill,2450,3 BD,1 BA,Brooklyn,Compass
10056,"37-30 73rd Street, Unit 1P",Jackson Heights,2100,1 BD,1 BA,Queens,Compass
10057,"46-30 Center Boulevard, Unit PH3",Hunters Point,6250,2 BD,3 BA,Queens,Compass
10058,134-11 160th Street,Rochdale,1880,1 BD,1 BA,Queens,Compass
10059,"57-59 Copper Avenue, Unit 2",Glendale,1950,2 BD,1 BA,Queens,Compass
10060,"44-72 11th Street, Unit A210",Hunters Point,3900,2 BD,1 BA,Queens,Compass
10061,"57-59 Cooper Avenue, Unit 1",Glendale,2100,2 BD,1 BA,Queens,Compass
10062,"31-69 37th Street, Unit 11",Astoria,1900,1 BD,1 BA,Queens,Compass
10063,"25-49 47th Street, Unit 2R",Astoria,1800,1 BD,1 BA,Queens,Compass
10064,"34-25 57th Street, Unit 2",Woodside,2700,3 BD,1 BA,Queens,Compass
10065,"29-08 31st Avenue, Unit B7",Astoria,1876,Studio,1 BA,Queens,Compass
10066,"18-65 Madison Street, Unit 1L",Ridgewood,1999,1 BD,1 BA,Queens,Compass
10067,"37-31 58th Street, Unit 2",Woodside,3000,2 BD,1.5 BA,Queens,Compass
10068,"48-48 48th Street, Unit 3R",Sunnyside,2200,2 BD,1 BA,Queens,Compass
10069,"26-27 18th Street, Unit 4",Astoria,2650,1 BD,1 BA,Queens,Compass
10070,"25-21 43rd Avenue, Unit 410",Long Island City,3200,1 BD,1 BA,Queens,Compass
10071,"27-57 Crescent Street, Unit 1B",Astoria,2308,1 BD,1 BA,Queens,Compass
10072,"143-45 Barclay Avenue, Unit C5",Downtown Flushing,2300,2 BD,2 BA,Queens,Compass
10073,"22-46 31st Street, Unit 2A",Ditmars,2300,2 BD,1 BA,Queens,Compass
10074,"33-46 92nd Street, Unit 1W",Jackson Heights,2800,2 BD,1.5 BA,Queens,Compass
10075,"44-14 Newtown Road, Unit 1",Astoria,2000,1 BD,1 BA,Queens,Compass
10076,"27-57 Crescent Street, Unit 1B",Astoria,2538,1 BD,1 BA,Queens,Compass
10077,"26-14 Jackson Avenue, Unit 10C",Long Island City,2385,Studio,1 BA,Queens,Compass
10078,"46-04 Vernon Boulevard, Unit 3C",Long Island City,4000,2 BD,2 BA,Queens,Compass
10079,"46-04 Vernon Boulevard, Unit 2A",Long Island City,3000,1 BD,1 BA,Queens,Compass
10080,"35-33 34th Street, Unit 1",New Astoria,3200,3 BD,1 BA,Queens,Compass
10081,248-5 40th Avenue,Long Island City,2600,3 BD,2 BA,Queens,Compass
10082,"5618 Cloverdale Boulevard, Unit 2",Bayside,2100,2 BD,1.5 BA,Queens,Compass
10083,"41-26 27th Street, Unit 2B",Long Island City,2400,Studio,1 BA,Queens,Compass
10084,"5-09 48th Avenue, Unit 7B",Hunters Point,3850,1 BD,1 BA,Queens,Compass
10085,"21-67 35th Street, Unit 2",Astoria,3000,2 BD,1 BA,Queens,Compass
10086,"25-35 18th Street, Unit 2B",Astoria,2450,1 BD,1 BA,Queens,Compass
10087,"26-14 Jackson Avenue, Unit 3D",Long Island City,3800,2 BD,1 BA,Queens,Compass
10088,"62-49 Forest Avenue, Unit 2A",Ridgewood,2050,1 BD,1 BA,Queens,Compass
10089,"41-26 27th Street, Unit 6F",Long Island City,2500,1 BD,1 BA,Queens,Compass
10090,"46-04 Vernon Boulevard, Unit 4A",Long Island City,3200,1 BD,1 BA,Queens,Compass
10091,"2-17 51st Avenue, Unit 606",Hunters Point,6995,2 BD,3 BA,Queens,Compass
10092,"11-07 Welling Court, Unit 4D",Astoria,2933,1 BD,1 BA,Queens,Compass
10093,"18-10 Astoria Park South, Unit 2",Astoria,2875,3 BD,1 BA,Queens,Compass
10094,"30-16 34th Street, Unit 3A",Astoria,3000,4 BD,1 BA,Queens,Compass
10095,"62-49 Forest Avenue, Unit 2D",Ridgewood,2610,2 BD,1 BA,Queens,Compass
10096,45-48 47th Street,Queens,3000,Studio,1 BA,Queens,Compass
10097,"25-35 18th Street, Unit 2D",Astoria,2100,Studio,1 BA,Queens,Compass
10098,"25-35 18th Street, Unit 1A",Astoria,2600,1 BD,1 BA,Queens,Compass
10099,"11-23 30th Drive, Unit 1",Astoria,3200,2 BD,1.5 BA,Queens,Compass
10100,"46-04 Vernon Boulevard, Unit 5D",Long Island City,4500,2 BD,2 BA,Queens,Compass
10101,"46-04 Vernon Boulevard, Unit 3A",Long Island City,3000,1 BD,1 BA,Queens,Compass
10102,"30-85 Vernon Boulevard, Unit 5A",Astoria,3300,2 BD,1.5 BA,Queens,Compass
10103,"44-72 11th Street, Unit A210",Hunters Point,3950,2 BD,1 BA,Queens,Compass
10104,"46-04 Vernon Boulevard, Unit 5A",Long Island City,3400,1 BD,1 BA,Queens,Compass
10105,86-66 188th Street,Jamaica Estates,2500,3 BD,1 BA,Queens,Compass
10106,"46-04 Vernon Boulevard, Unit 6D",Hunters Point,3300,1 BD,1 BA,Queens,Compass
10107,"43-10 44th Street, Unit 5F",Sunnyside,2100,1 BD,1 BA,Queens,Compass
10108,"30-18 12th Street, Unit 2",Astoria,3600,3 BD,2 BA,Queens,Compass
10109,"85-18 60th Drive, Fl -3",Maspeth,2300,3 BD,1 BA,Queens,Compass
10110,"46-04 Vernon Boulevard, Unit 2C",Hunters Point,3500,1 BD,2 BA,Queens,Compass
10111,"22-46 31st Street, Unit 3C",Ditmars,1800,1 BD,1 BA,Queens,Compass
10112,"46-09 11th Street, Unit 6D",Hunters Point,4140,2 BD,2 BA,Queens,Compass
10113,"87-62 52nd Avenue, Fl 2",Elmhurst,2800,3 BD,2 BA,Queens,Compass
10114,"40-11 25th Avenue, Unit C11",Astoria,2050,2 BD,1 BA,Queens,Compass
10115,"18-22 Linden Street, Unit 1 duplex",Ridgewood,2995,3 BD,2.5 BA,Queens,Compass
10116,"149-04 12th Avenue, Unit 2",Whitestone,2200,3 BD,1 BA,Queens,Compass
10117,"16-12 Decatur Street, Unit 2",Ridgewood,3500,2 BD,1 BA,Queens,Compass
10118,"46-04 Vernon Boulevard, Unit 4B",Long Island City,3200,1 BD,1 BA,Queens,Compass
10119,"112-01 Queens Boulevard, Unit 9G",Forest Hills,3900,2 BD,2 BA,Queens,Compass
10120,"46-04 Vernon Boulevard, Unit 7B",Long Island City,4000,1 BD,1 BA,Queens,Compass
10121,"46-04 Vernon Boulevard, Unit 4C",Long Island City,4200,2 BD,2 BA,Queens,Compass
10122,"31-38 36th Street, Unit 2F",Astoria,2500,2 BD,1 BA,Queens,Compass
10123,"46-04 Vernon Boulevard, Unit 6A",Long Island City,3200,1 BD,1 BA,Queens,Compass
10124,"29-08 31st Avenue, Unit E14",Astoria,3100,3 BD,1 BA,Queens,Compass
10125,"46-04 Vernon Boulevard, Unit 6B",Long Island City,3200,1 BD,1 BA,Queens,Compass
10126,"46-04 Vernon Boulevard, Unit 2D",Long Island City,4100,2 BD,2 BA,Queens,Compass
10127,"34-47 42nd Street, Unit 2R",Astoria,1750,1 BD,1 BA,Queens,Compass
10128,2910 Broadway,New Astoria,3999,2 BD,2 BA,Queens,Compass
10129,"46-04 Vernon Boulevard, Unit 3D",Long Island City,4000,2 BD,2 BA,Queens,Compass
10131,"46-04 Vernon Boulevard, Unit 2B",Long Island City,3000,1 BD,1 BA,Queens,Compass
10132,"41-26 27th Street, Unit 2F",Long Island City,2500,1 BD,1 BA,Queens,Compass
10133,"33-15 81st Street, Unit 4J",Jackson Heights,1950,1 BD,1 BA,Queens,Compass
10134,"123-10 Ocean Promenade Belle Harbor, Unit 3H",Rockaway Park,1775,1 BD,1 BA,Queens,Compass
10135,"31-33 82nd Street, Unit 2R",Jackson Heights,1600,2 BD,1 BA,Queens,Compass
10136,"46-09 11th Street, Unit 5B",Hunters Point,3050,1 BD,1 BA,Queens,Compass
10138,"30-11 21st Street, Unit 6E",Astoria,4000,2 BD,2 BA,Queens,Compass
10139,"31-03 23rd Street, Unit B6",Astoria,1700,2 BD,1 BA,Queens,Compass
10140,"22-42 29th Street, Unit 1",Ditmars,3495,2 BD,2 BA,Queens,Compass
10141,"34-27 37th Street, Unit 1L",Astoria,2700,3 BD,1 BA,Queens,Compass
10142,"38-08 Union Street, Unit 11A",Flushing,1200,Studio,2 BA,Queens,Compass
10143,"44-72 11th Street, Unit A505",Hunters Point,3195,1 BD,1 BA,Queens,Compass
10144,"39-75 62nd Street, Unit 2",Woodside,1375,Studio,1 BA,Queens,Compass
10145,"61-15 98th Street, Unit 10D",Rego Park,2600,2 BD,1.5 BA,Queens,Compass
10146,"46-30 Center Boulevard, Unit 1502",Long Island City,5500,2 BD,2 BA,Queens,Compass
10147,"46-04 Vernon Boulevard, Unit 7A",Long Island City,3000,1 BD,1 BA,Queens,Compass
10149,"46-04 Vernon Boulevard, Unit 5B",Hunters Point,3400,1 BD,1 BA,Queens,Compass
10150,"44-72 11th Street, Unit A505",Hunters Point,3195,1 BD,1 BA,Queens,Compass
10151,"11-07 Welling Court, Unit PHB",Astoria,3300,1 BD,1 BA,Queens,Compass
10152,"44-72 11th Street, Unit A401",Hunters Point,3175,1 BD,1 BA,Queens,Compass
10153,"30-71 33rd Street, Unit D1",Astoria,1795,1 BD,1 BA,Queens,Compass
10154,"46-04 Vernon Boulevard, Unit 5C",Long Island City,4500,2 BD,2 BA,Queens,Compass
10155,"46-04 Vernon Boulevard, Unit 3B",Long Island City,3000,1 BD,1 BA,Queens,Compass
10156,"25-35 18th Street, Unit 2A",Astoria,2450,1 BD,1 BA,Queens,Compass
10157,"8829 54th Avenue, Unit 3",Elmhurst,2700,3 BD,1.5 BA,Queens,Compass
10158,"25-35 18th Street, Unit 2C",Astoria,2500,1 BD,1 BA,Queens,Compass
10159,"13-11 Jackson Ave, Unit 4C",Hunters Point,2300,Studio,1 BA,Queens,Compass
10160,"147-42 109th Avenue, Unit 2",Jamaica,1350,1 BD,1 BA,Queens,Compass
10161,"17-18 Putnam Avenue, Unit 1L",Ridgewood,2750,3 BD,1 BA,Queens,Compass
10162,"46-04 Vernon Boulevard, Unit 4D",Long Island City,4150,2 BD,2 BA,Queens,Compass
10163,"42-51 Hunter Street, Unit 2D",Long Island City,4500,2 BD,2 BA,Queens,Compass
10164,25-45 Steinway Street,Astoria,2500,3 BD,1 BA,Queens,Compass
10165,"18-68 Bleecker Street, Unit 1L",Ridgewood,1750,1 BD,1 BA,Queens,Compass
10167,"33-58 14th Street, Unit 1",Astoria,2950,3 BD,1.5 BA,Queens,Compass
10169,"25-27 18th Street, Unit 2B",Astoria,2250,1 BD,1 BA,Queens,Compass
10170,"42-22 Ketcham Street, Unit F8",Elmhurst,2800,3 BD,2 BA,Queens,Compass
10171,"1722 Greene Avenue, Unit 2LL",Ridgewood,2800,3 BD,1.5 BA,Queens,Compass
10172,1727 Harman Street,Ridgewood,2695,2 BD,1 BA,Queens,Compass
10173,"494 Seneca Avenue, Unit 4",Ridgewood,2000,1 BD,1 BA,Queens,Compass
10174,"494 Seneca Avenue, Unit 4",Ridgewood,2000,1 BD,1 BA,Queens,Compass
10175,"43-25 Hunter Street, Unit 310W",Long Island City,2702,Studio,1 BA,Queens,Compass
10176,"43-25 Hunter Street, Unit 4613W",Long Island City,4596,2 BD,2 BA,Queens,Compass
10177,"43-10 Crescent Street, Unit 317",Long Island City,4850,2 BD,2 BA,Queens,Compass
10178,43-10 Crescent Street,Long Island City,6577,3 BD,2 BA,Queens,Compass
10179,"43-10 Crescent Street, Unit 3404",Long Island City,3642,1 BD,1 BA,Queens,Compass
10180,"43-10 Crescent Street, Unit 423",Long Island City,3453,1 BD,1 BA,Queens,Compass
10181,"17802 Hillside Avenue, Unit 619",Eastwood,1925,Studio,1 BA,Queens,Compass
10182,"48-06 Skillman Avenue, Unit 3F",Sunnyside,1700,1 BD,1 BA,Queens,Compass
10183,"31-43 Vernon Boulevard, Unit 704",Astoria,4950,2 BD,2 BA,Queens,Compass
10184,"34-15 Parsons Boulevard, Unit 3F",Murray Hill - Flushing,1824,Studio,1 BA,Queens,Compass
10185,"132-61 Sanford Avenue, Unit 5B",Downtown Flushing,1925,1 BD,1 BA,Queens,Compass
10186,"34-15 Parsons Boulevard, Unit 4K",Murray Hill - Flushing,2455,2 BD,1 BA,Queens,Compass
10187,"132-45 Maple Avenue, Unit 310",Flushing,1685,Studio,1 BA,Queens,Compass
10188,"151-10 35th Avenue, Unit L3",Murray Hill - Flushing,1800,1 BD,1 BA,Queens,Compass
10189,139-18 34th Road,Flushing,1812,1 BD,1 BA,Queens,Compass
10190,"99-12 65th Road, Unit 5KK",Rego Park,2315,2 BD,1 BA,Queens,Compass
10191,"65-09 99th Street, Unit 3BB",Rego Park,1800,Studio,1 BA,Queens,Compass
10192,"183-11 Hillside Avenue, Unit 9B",Jamaica Estates,1450,Studio,1 BA,Queens,Compass
10193,"62-72 81st Street, Unit 2",Middle Village,2200,2 BD,1 BA,Queens,Compass
10194,"132-25 Maple Avenue, Unit 509",Flushing,1650,Studio,1 BA,Queens,Compass
10195,132-25 Maple Avenue,Flushing,1800,1 BD,1 BA,Queens,Compass
10196,"34-15 Parsons Boulevard, Unit 2CC",Murray Hill - Flushing,1925,Studio,1 BA,Queens,Compass
10197,"30-11 34th Street, Unit 4E",Astoria,1900,1 BD,1 BA,Queens,Compass
10198,"75-25 153rd Street, Unit 137",Kew Gardens Hills,1993,1 BD,1 BA,Queens,Compass
10199,"62-60 99th Street, Unit 512",Rego Park,3239,3 BD,2 BA,Queens,Compass
10200,"56-21 61st Street, Unit 2L",Maspeth,1620,1 BD,1 BA,Queens,Compass
10201,"75-25 153rd Street, Unit 437",Kew Gardens Hills,2015,1 BD,1 BA,Queens,Compass
10202,"62-60 99th Street, Unit 1119",Rego Park,2768,2 BD,2 BA,Queens,Compass
10203,"50-21 39th Place, Unit 4B",Sunnyside,2000,1 BD,1 BA,Queens,Compass
10204,"75-25 153rd Street, Unit 241",Kew Gardens Hills,3672,3 BD,2 BA,Queens,Compass
10205,"62-60 99th Street, Unit 701A",Rego Park,4164,4 BD,2 BA,Queens,Compass
10206,"30-89 38th Street, Unit 1W",Astoria,2850,1 BD,1 BA,Queens,Compass
10207,"28-05 42nd Street, Unit 3R",Astoria,1875,1 BD,1 BA,Queens,Compass
10208,"11 31st Avenue, Unit 11B",Astoria,2600,1 BD,1 BA,Queens,Compass
10209,"30-11 34th Street, Unit 5E",Astoria,2400,2 BD,1 BA,Queens,Compass
10210,"41-06 52nd Street, Unit 3C",Woodside,1750,1 BD,1 BA,Queens,Compass
10211,"209-01 42nd Avenue, Unit 26",Bayside,2200,2 BD,1 BA,Queens,Compass
10212,"28-25 33rd Street, Unit B8",Astoria,1800,1 BD,1 BA,Queens,Compass
10213,"62-60 99th Street, Unit 215",Rego Park,3839,4 BD,2 BA,Queens,Compass
10214,"30-74 32nd Street, Unit 23",Astoria,1700,1 BD,1 BA,Queens,Compass
10215,"62-60 99th Street, Unit 909A",Rego Park,2435,2 BD,2 BA,Queens,Compass
10216,"32-02 34th Avenue, Unit 6B",New Astoria,1750,1 BD,1 BA,Queens,Compass
10217,"65-36 99th Street, Unit H3",Rego Park,1892,Studio,1 BA,Queens,Compass
10218,"65-09 99th Street, Unit 33L",Rego Park,1707,Studio,1 BA,Queens,Compass
10219,37-33 College Pt Boulevard,Downtown Flushing,1800,1 BD,1 BA,Queens,Compass
10220,"143-45 Sanford Avenue, Unit 203S",Downtown Flushing,1980,1 BD,1 BA,Queens,Compass
10221,"143-45 Sanford Avenue, Unit 506S",Downtown Flushing,1685,Studio,1 BA,Queens,Compass
10222,"132-45 Maple Avenue, Unit 112M",Flushing,1925,1 BD,1 BA,Queens,Compass
10223,"132-25 Maple Avenue, Unit 409",Flushing,1650,Studio,1 BA,Queens,Compass
10224,"45-15 Colden Street, Unit 4H",Queensboro Hill,1863,1 BD,1 BA,Queens,Compass
10225,"64-85 Wetherole Street, Unit 4H",Rego Park,2025,1 BD,1 BA,Queens,Compass
10226,"97-50 Queens Boulevard, Unit 312",Rego Park,1772,Studio,1 BA,Queens,Compass
10227,"97-45 Queens Boulevard, Unit 707",Rego Park,3450,2 BD,1 BA,Queens,Compass
10228,"98-01 67th Avenue, Unit 7U",Rego Park,2326,1 BD,1 BA,Queens,Compass
10229,"47-20 40th Street, Unit 3D",Sunnyside,2251,2 BD,1 BA,Queens,Compass
10230,43-25 Hunter Street,Long Island City,5130,2 BD,2 BA,Queens,Compass
10231,"5-11 47th Avenue, Unit 8A",Hunters Point,3011,Studio,1 BA,Queens,Compass
10232,"97-50 Queens Boulevard, Unit 212",Rego Park,1772,Studio,1 BA,Queens,Compass
10233,"98-05 67th Avenue, Unit 1O",Rego Park,1796,Studio,1 BA,Queens,Compass
10234,"43-23 42nd Street, Unit 207",Sunnyside,3025,2 BD,1 BA,Queens,Compass
10235,"43-25 Hunter Street, Unit 4504W",Long Island City,3811,1 BD,1 BA,Queens,Compass
10236,"29-06 21st Avenue, Unit 3D",Ditmars,1900,1 BD,1 BA,Queens,Compass
10237,"2-14 50th Avenue, Unit 1104W",Hunters Point,5505,2 BD,2 BA,Queens,Compass
10238,"43-25 Hunter Street, Unit 840E",Long Island City,3642,1 BD,1 BA,Queens,Compass
10239,"43-25 Hunter Street, Unit 4604W",Long Island City,3816,1 BD,1 BA,Queens,Compass
10240,"29-23 23rd Road, Unit 3",Astoria,3800,3 BD,2 BA,Queens,Compass
10241,"43-10 Crescent Street, Unit 3503",Long Island City,3742,1 BD,1 BA,Queens,Compass
10242,"43-10 Crescent Street, Unit 2719",Long Island City,3483,1 BD,1 BA,Queens,Compass
10243,"98-30 67th Avenue, Unit 5G",Rego Park,2275,1 BD,1 BA,Queens,Compass
10244,"23-10 Queens Plaza South, Unit 15J",Long Island City,5000,2 BD,2 BA,Queens,Compass
10245,"99-60 64th Avenue, Unit 4U",Rego Park,2242,1 BD,1 BA,Queens,Compass
10246,"88-36 Elmhurst Avenue, Unit 3A",Elmhurst,1775,Studio,1 BA,Queens,Compass
10247,"83-40 Britton Avenue, Unit 6A",Elmhurst,1900,1 BD,1 BA,Queens,Compass
10248,"41-25 Case Street, Unit 5F",Elmhurst,1815,Studio,1 BA,Queens,Compass
10249,"37-40 81st Street, Unit B2",Jackson Heights,2013,1 BD,1 BA,Queens,Compass
10250,"34-09 150th Street, Unit 2",Murray Hill - Flushing,3000,3 BD,2 BA,Queens,Compass
10251,"27-21 44th Drive, Unit 2603",Long Island City,3000,1 BD,1 BA,Queens,Compass
10252,"5-11 47th Avenue, Unit 8A",Hunters Point,3011,Studio,1 BA,Queens,Compass
10253,"42-15 Crescent Street, Unit 404F",Long Island City,2317,Studio,1 BA,Queens,Compass
10254,"46 Center Boulevard, Unit 1705",Upper West Side,7300,3 BD,3 BA,Queens,Compass
10255,"22-22 Jackson Avenue, Unit 709",Hunters Point,2662,Studio,1 BA,Queens,Compass
10256,"46-30 Center Boulevard, Unit 501",Hunters Point,6995,3 BD,3 BA,Queens,Compass
10257,"41-17 Crescent Street, Unit 9D",Long Island City,4950,2 BD,2 BA,Queens,Compass
10258,"104-22 39th Avenue, Unit 4A",North Corona,1780,1 BD,1 BA,Queens,Compass
10259,"22-22 Jackson Avenue, Unit 901",Hunters Point,4195,2 BD,2 BA,Queens,Compass
10260,"42-15 Crescent Street, Unit 606N",Long Island City,2688,1 BD,1 BA,Queens,Compass
10261,"23-62 38th Street, Unit 1L",Astoria,2650,2 BD,1 BA,Queens,Compass
10262,"7520 62nd Street, Unit 2",Glendale,2475,3 BD,1 BA,Queens,Compass
10263,"43-09 47th Avenue, Unit 1M",Sunnyside,2703,2 BD,1 BA,Queens,Compass
10264,"12-02 Astoria Boulevard, Unit 2A",Astoria,2450,1 BD,1 BA,Queens,Compass
10265,"65-70 Austin Street, Unit 403",Rego Park,2050,1 BD,1 BA,Queens,Compass
10266,"17-11 Himrod Street, Unit 3R",Ridgewood,2450,2 BD,1 BA,Queens,Compass
10267,"65-70 Austin Street, Unit 602",Rego Park,2225,1 BD,1 BA,Queens,Compass
10268,"61-55 Junction Boulevard, Unit 14Q",Rego Park,2410,Studio,1 BA,Queens,Compass
10269,"61-55 Junction Boulevard, Unit 20C",Rego Park,3600,2 BD,2 BA,Queens,Compass
10270,"23-31 33rd Street, Unit 1",Astoria,2350,2 BD,1 BA,Queens,Compass
10271,"90-02 Queens Boulevard, Unit 7",Elmhurst,4000,2 BD,1 BA,Queens,Compass
10272,"6080 Myrtle Avenue, Unit 2G",Ridgewood,2500,2 BD,1 BA,Queens,Compass
10273,"381 Onderdonk Avenue, Unit 3L",Ridgewood,2900,3 BD,1.5 BA,Queens,Compass
10274,"48-15 11th Street, Unit 4E",Hunters Point,4875,2 BD,2 BA,Queens,Compass
10275,"98-30 67th Avenue, Unit 1V",Rego Park,2125,1 BD,1 BA,Queens,Compass
10276,"37-02 31st Avenue, Unit 1R",Astoria,2100,1 BD,1 BA,Queens,Compass
10277,"31-43 Vernon Boulevard, Unit 609",Astoria,2979,1 BD,1 BA,Queens,Compass
10278,"31-43 Vernon Boulevard, Unit 614",Astoria,3002,1 BD,1 BA,Queens,Compass
10279,"111-11 Liberty Avenue, Unit 3",Richmond Hill,1300,1 BD,1 BA,Queens,Compass
10280,"36-20 Bowne Street, Unit 1N",Downtown Flushing,2690,3 BD,2 BA,Queens,Compass
10281,"37-14 36th Street, Unit 8F",Long Island City,2284,Studio,1 BA,Queens,Compass
10282,"48-05 46th Street, Unit 3B",Sunnyside,2150,2 BD,1 BA,Queens,Compass
10283,"23-22 30th Road, Unit 12",Astoria,2125,Studio,1 BA,Queens,Compass
10284,"42-12 28th Street, Unit 55A",Long Island City,5000,2 BD,2 BA,Queens,Compass
10285,"11-02 49th Avenue, Unit 7C",Hunters Point,5700,2 BD,2.5 BA,Queens,Compass
10286,"61-55 Junction Boulevard, Unit 14Q",Rego Park,2410,Studio,1 BA,Queens,Compass
10287,"30-85 Vernon Boulevard, Unit 3N",Astoria,3100,2 BD,1.5 BA,Queens,Compass
